generation,par_fitness_mean,pro_fitness_mean,par_fitness_std,pro_fitness_std
0,1.1592740743000005,1.1603883429491904,2.220446049250313e-16,0.0011657648956261786
1,1.158703251039303,1.1598139252230892,3.8174981017374314e-05,0.0011750480204841037
2,1.1581342720616032,1.1592767371687003,7.422634350817853e-05,0.0011744543599927482
3,1.1575641632880755,1.158793091180779,0.00010620291500556797,0.0012260746539361263
4,1.1570081009611535,1.15830045312231,0.0001361040317742273,0.0012695383960466286
5,1.1564564216678528,1.1578111468448666,0.00016416564648418294,0.001300712095258634
6,1.1559053167244708,1.1573970244834606,0.0002239296329259663,0.0013515139232210894
7,1.1553761744251887,1.157043761392856,0.0002445438852444188,0.0013900150552954044
8,1.154845731706848,1.1567230215017477,0.0002564070758607952,0.001446145014844782
9,1.154322386181852,1.1564627650828,0.00029999303622640173,0.0015422763287907396
10,1.1537686168533006,1.1561377351421802,0.000324697553502937,0.0015800446874650396
11,1.1532879033574952,1.1559027033760865,0.00033878899414388925,0.0016626848209963328
12,1.1527628917891852,1.1557128407842732,0.0003505211988273583,0.0017015844442763472
13,1.1522176801234307,1.155470116548583,0.0003869294986194775,0.0017514907701215985
14,1.1517246778616872,1.1553900440680593,0.0004530651381412713,0.0017761777846365403
15,1.151242078023411,1.1553232143940684,0.0004935083339182585,0.0017297117757986726
16,1.1507906323177821,1.155166147701186,0.0005307408378717281,0.0017434935619657119
17,1.150323686870853,1.155090950734521,0.0005562612064393067,0.0018676616316226483
18,1.1498249897159534,1.1549890752629595,0.0006010967716283788,0.0019017675847235965
19,1.1493924864036713,1.1549376711416746,0.0006112770862779518,0.0019232385701504922
20,1.148963207673522,1.1549650691377373,0.0006460933070505612,0.002015348313234135
21,1.1485568478988517,1.1550881678818343,0.0007018346429029845,0.002131948176916885
22,1.1481910102243595,1.1552346021323292,0.0006840958929037003,0.0023143055915261206
23,1.1478369962557697,1.1554285247752325,0.000664821061253105,0.0022576695407764908
24,1.1475000873518457,1.1556255851688142,0.000725666584330205,0.0023061379172570843
25,1.147171149317013,1.1558486071850333,0.0007555776129081718,0.002313389790945218
26,1.1468172434269421,1.1560063865723387,0.0008242515728368718,0.0024065921839133207
27,1.1465216735803847,1.1562765672845037,0.0008379050537664945,0.002520418927460706
28,1.1462081393209296,1.1565585091391306,0.0008667945595769093,0.0026057379344691578
29,1.1459098307863196,1.1569194163928238,0.0009039997633128569,0.002699992430261912
30,1.1455915330206785,1.1572659966069023,0.0009386266552920947,0.002820743105163082
31,1.1453201940282312,1.1576927283934184,0.000951318877287372,0.002875617730434312
