generation,par_fixed,pro_fixed,par_fixed_std,pro_fixed_std,par_nmuts,pro_nmuts,par_nmuts_std,pro_nmuts_std
0,5.0,0.0,0.0,0.0,225.0,225.3,0.0,1.571623364550171
1,5.0,0.0,0.0,0.0,225.00063333333335,225.30750666666665,0.0007753135566389523,1.5769342538820923
2,5.0,0.0,0.0,0.0,225.00164666666672,225.38000333333332,0.0013348491383757116,1.5634307336360547
3,5.0,0.0,0.0,0.0,225.00230333333332,225.41188666666667,0.0017295439347463065,1.5869049087383205
4,5.0,0.0,0.0,0.0,225.00314666666668,225.48281666666662,0.0024825255957060376,1.6597392153755837
5,5.0,0.0,0.0,0.0,225.00388000000004,225.62215000000003,0.0033627105468972615,1.688251452687068
6,5.0,0.0,0.0,0.0,225.00464000000008,225.82040666666668,0.0035307160117404594,1.6596163094589729
7,5.0,0.0,0.0,0.0,225.00487,226.10135666666665,0.0037531897545079497,1.7310391883714762
8,5.0,0.0,0.0,0.0,225.0054266666667,226.40629,0.0038987405373755255,1.7884775596734652
9,5.0,0.0,0.0,0.0,225.00547333333338,226.63509333333334,0.004112901111812976,1.8305819791530786
10,5.0,0.0,0.0,0.0,225.00675333333334,226.84140666666667,0.00517034707625002,1.9203606094111005
11,5.0,0.0,0.0,0.0,225.00758000000002,227.2127133333333,0.0062595029976655605,1.947029712733389
12,5.0,0.0,0.0,0.0,225.00831333333335,227.58679,0.006579567699410935,2.032470890131844
13,5.0,0.0,0.0,0.0,225.0089533333333,228.00945666666667,0.006982839282444354,2.0690414483013355
14,5.0,0.0,0.0,0.0,225.00978333333333,228.41155666666668,0.008158890855991464,2.125997336182609
15,5.0,0.0,0.0,0.0,225.01021333333338,228.90832000000003,0.009315878917204418,2.19701438417382
16,5.0,0.0,0.0,0.0,225.01120000000003,229.46729333333332,0.010044567354213595,2.2519185930026673
17,5.0,0.0,0.0,0.0,225.01231000000004,229.96267666666662,0.011065788619786831,2.182760560724779
18,5.0,0.0,0.0,0.0,225.01361,230.55493666666666,0.01321935071527025,2.2919737698203364
19,5.0,0.0,0.0,0.0,225.0148066666667,231.25900000000001,0.014616518813390636,2.3522932437186577
20,5.0,0.0,0.0,0.0,225.01538666666667,231.96889333333337,0.014987752036617332,2.490049961069501
21,5.0,0.0,0.0,0.0,225.01683333333335,232.62116000000003,0.017568943558956045,2.5626675175510223
22,5.0,0.0,0.0,0.0,225.0174066666667,233.33971999999997,0.019252508061721844,2.726167233282328
23,5.0,0.0,0.0,0.0,225.01904666666667,234.05646999999996,0.021657588867543646,2.786474617423321
24,5.0,0.0,0.0,0.0,225.02004,234.8344233333333,0.02289877628947806,2.865568995603957
25,5.0,0.0,0.0,0.0,225.02050666666665,235.63475333333335,0.023815796811732244,2.924389142527602
26,5.0,0.0,0.0,0.0,225.02129666666667,236.3934466666666,0.023070081394645257,2.9380792555000963
27,5.0,0.0,0.0,0.0,225.0222633333333,237.20824999999996,0.024532803209853873,2.9673525706614483
28,5.0,0.0,0.0,0.0,225.02279666666666,238.0517766666667,0.024974871593486835,2.932134510729534
29,5.0,0.0,0.0,0.0,225.02305333333337,239.0195866666666,0.02581393766510195,3.0812900888065986
30,5.0,0.0,0.0,0.0,225.02443000000002,240.00319333333334,0.02757886852082453,3.119143037644937
31,5.0,0.0,0.0,0.0,225.02501333333333,240.8217,0.031216837337138082,3.2061757401406847
32,5.0,0.0,0.0,0.0,225.02722999999997,241.74096,0.03550920678734911,3.215167105828248
33,5.0,0.0,0.0,0.0,225.02769333333336,242.73393999999996,0.03646034923950481,3.191118489175159
34,5.0,0.0,0.0,0.0,225.02865333333332,243.82607333333328,0.03891666081370371,3.325171653574194
35,5.0,0.0,0.0,0.0,225.02868999999998,244.84129666666672,0.03768843780848964,3.4246252359102503
36,5.0,0.0,0.0,0.0,225.03031,245.9687866666667,0.03761841319236123,3.417637867338591
37,5.0,0.0,0.0,0.0,225.03175666666658,246.92571666666663,0.042295280929305956,3.5218331711308792
38,5.0,0.0,0.0,0.0,225.0326966666666,248.01798333333332,0.04083141750607716,3.6071311578208824
39,5.0,0.0,0.0,0.0,225.03336333333334,249.20142999999996,0.04148250220139693,3.7048715822084253
40,5.0,0.0,0.0,0.0,225.03385666666668,250.18835333333334,0.039780907061888984,3.7210418271769035
41,5.0,0.0,0.0,0.0,225.03600999999998,251.31039666666666,0.04432374470241167,3.8809334042484034
42,5.0,0.0,0.0,0.0,225.03636333333336,252.61015333333336,0.04325025613283173,4.061574944777511
43,5.0,0.0,0.0,0.0,225.03706333333332,253.81581333333335,0.04349837021212647,4.179202061616813
44,5.0,0.0,0.0,0.0,225.03784000000005,254.93062666666668,0.04294718927551311,4.312170536021658
45,5.0,0.0,0.0,0.0,225.03897999999998,256.0782733333333,0.042616267629470427,4.561612356607641
46,5.0,0.0,0.0,0.0,225.04068333333336,257.42845,0.047562178601628965,4.660685674489206
47,5.0,0.0,0.0,0.0,225.04272333333338,258.6661733333333,0.04923955173999486,4.698214768394011
48,5.0,0.0,0.0,0.0,225.04133333333334,259.9802,0.05104838663246719,4.982471936699695
49,5.0,0.0,0.0,0.0,225.04351333333335,261.40906,0.05288644901001518,5.1045110346698905
50,5.0,0.0,0.0,0.0,225.04266333333334,262.81981666666667,0.05245271934482324,5.200945303259787
51,5.0,0.0,0.0,0.0,225.04278666666664,264.09985333333333,0.050112329820115674,5.314752290521167
52,5.0,0.0,0.0,0.0,225.0440366666667,265.51397999999995,0.051941011306630896,5.3465020011675755
53,5.0,0.0,0.0,0.0,225.04488333333336,266.8792966666667,0.0505594561987279,5.4751873566918015
54,5.0,0.0,0.0,0.0,225.04559999999998,268.29328000000004,0.05064363511615012,5.612553015581333
55,5.0,0.0,0.0,0.0,225.04484999999994,269.6091133333333,0.052227118860267485,5.746134768737057
56,5.0,0.0,0.0,0.0,225.04477333333332,271.18739999999997,0.05518741563476517,5.872432753127105
57,5.0,0.0,0.0,0.0,225.04614,272.47508333333326,0.05733054605627945,6.10806741547148
58,5.0,0.0,0.0,0.0,225.04602333333335,273.91345000000007,0.056455533239297515,6.1544837507796775
59,5.0,0.0,0.0,0.0,225.04672666666664,275.37109333333336,0.060186679589423545,6.256870072005295
60,5.0,0.0,0.0,0.0,225.0471,276.7981833333334,0.061608684452762276,6.546508959637272
61,5.0,0.0,0.0,0.0,225.0472066666667,278.29583333333335,0.0610542705759027,6.613819629382101
62,5.0,0.0,0.0,0.0,225.04855333333336,279.71024,0.06394305139905634,6.860013482668966
63,5.0,0.0,0.0,0.0,225.05000666666666,281.11990333333335,0.06988325153028054,6.827830802482014
64,5.0,0.0,0.0,0.0,225.05163666666667,282.63086333333337,0.07120721085520589,7.055302721451587
65,5.0,0.0,0.0,0.0,225.0552866666667,284.1265133333334,0.07617501806877426,7.18642532656304
