U,s,K,SSD
0.09999999999999999,0.02,10.0,1.0603629749525656
0.03,0.03,5.0,1.0606841987510351
0.09000000000000001,0.02,10.0,1.0626007708667948
0.08,0.02,10.0,1.0853463749096768
0.01,0.04,5.0,1.0883704243283352
0.04,0.03,5.0,1.106831202073195
0.06999999999999999,0.02,10.0,1.1317304421830758
0.09999999999999999,0.02,5.0,1.1515509417511953
0.02,0.03,5.0,1.1804110254704943
0.09000000000000001,0.02,5.0,1.2027391427473106
0.060000000000000005,0.02,10.0,1.223032637601272
0.08,0.02,5.0,1.2559025151482348
0.05000000000000001,0.03,5.0,1.2625509972387239
0.05000000000000001,0.02,10.0,1.2898063824023707
0.02,0.03,10.0,1.2937799788449604
0.01,0.05000000000000001,0.0,1.3107997085466188
0.01,0.05000000000000001,15.0,1.319582254180639
0.05000000000000001,0.03,15.0,1.3200566899862005
0.02,0.04,0.0,1.3204165014855145
0.05000000000000001,0.03,0.0,1.324171862582287
0.02,0.04,15.0,1.3275634922099684
0.06999999999999999,0.02,5.0,1.3586963963508596
0.060000000000000005,0.03,15.0,1.359927732473438
0.04,0.03,0.0,1.369844351189778
0.060000000000000005,0.03,0.0,1.391721688528694
0.02,0.04,5.0,1.403326802152647
0.04,0.03,15.0,1.4059733607752818
0.01,0.03,10.0,1.412749295938794
0.060000000000000005,0.02,20.0,1.4274840464371639
0.04,0.02,20.0,1.4542088320437712
0.05000000000000001,0.02,20.0,1.4592600531089885
0.09000000000000001,0.02,20.0,1.4670838064047775
0.04,0.02,10.0,1.472827614288683
0.06999999999999999,0.02,20.0,1.4772961692617974
0.060000000000000005,0.02,5.0,1.477514580858612
0.08,0.02,20.0,1.4798062467905213
0.09999999999999999,0.02,0.0,1.4917375563445656
0.03,0.04,15.0,1.494335010366943
0.06999999999999999,0.03,15.0,1.497283557557819
0.03,0.02,20.0,1.5045039396558044
0.03,0.03,0.0,1.5228794272966064
0.03,0.03,10.0,1.5275874156133844
0.09999999999999999,0.02,15.0,1.5538774305443919
0.09000000000000001,0.02,0.0,1.5555195772022736
0.09999999999999999,0.02,20.0,1.5803703385578622
0.05000000000000001,0.02,5.0,1.5967257123523464
0.03,0.03,15.0,1.6060779836171004
0.01,0.03,5.0,1.6098952862411933
0.03,0.02,10.0,1.6240737539120405
0.02,0.02,20.0,1.644827297703297
0.01,0.04,0.0,1.647644736463934
0.08,0.02,0.0,1.6640861875881292
0.060000000000000005,0.03,5.0,1.6718597608289745
0.04,0.03,10.0,1.681577150607313
0.09000000000000001,0.02,15.0,1.6925427258631114
0.08,0.03,15.0,1.716018546401157
0.08,0.02,15.0,1.7264988592605655
0.06999999999999999,0.03,0.0,1.7310503805113209
0.03,0.04,0.0,1.7648659018910733
0.04,0.02,5.0,1.81084901013108
0.06999999999999999,0.02,0.0,1.8200812660607706
0.01,0.02,20.0,1.8251670243456928
0.03,0.02,25.0,1.8316295697481977
0.01,0.04,15.0,1.8367448440444978
0.02,0.02,10.0,1.8467726079094964
0.04,0.02,25.0,1.8481024692799337
0.060000000000000005,0.02,25.0,1.8691577684442457
0.02,0.03,0.0,1.8727327662750926
0.02,0.02,25.0,1.897386860659781
0.05000000000000001,0.02,25.0,1.8975060383593807
0.06999999999999999,0.02,15.0,1.9522243665305303
0.06999999999999999,0.03,5.0,1.9736505737941805
0.01,0.060000000000000005,15.0,1.9950906400659454
0.06999999999999999,0.02,25.0,1.9959015728583005
0.060000000000000005,0.02,15.0,2.001074236797756
0.01,0.02,25.0,2.019923690262272
0.01,0.05000000000000001,5.0,2.0214775462375267
0.060000000000000005,0.02,0.0,2.0289614765853368
0.08,0.03,0.0,2.029413609439048
0.02,0.03,15.0,2.040841121640978
0.08,0.02,25.0,2.041439452197737
0.09999999999999999,0.01,30.0,2.056297716504786
0.03,0.02,5.0,2.071864043139787
0.09000000000000001,0.03,15.0,2.073810558743473
0.04,0.04,15.0,2.0999750671063047
0.09000000000000001,0.02,25.0,2.109919848084706
0.09000000000000001,0.01,30.0,2.1238870999149406
0.08,0.01,30.0,2.14439433061705
0.02,0.05000000000000001,15.0,2.1636612915962288
0.01,0.02,10.0,2.1642395093240476
0.09999999999999999,0.01,25.0,2.184613100969224
0.05000000000000001,0.03,10.0,2.2026082077371623
0.06999999999999999,0.01,30.0,2.214131220079733
0.05000000000000001,0.02,0.0,2.223961713970826
0.09000000000000001,0.01,25.0,2.243813011322276
0.09999999999999999,0.02,25.0,2.249360960811263
0.060000000000000005,0.01,30.0,2.2806909683169088
0.09999999999999999,0.01,20.0,2.2845470498058877
0.02,0.02,5.0,2.3014881507553526
0.08,0.01,25.0,2.3207883596440375
0.05000000000000001,0.01,30.0,2.3364641780034505
0.05000000000000001,0.02,15.0,2.3481322728006
0.03,0.02,30.0,2.370400466894305
0.01,0.060000000000000005,0.0,2.3748442077552934
0.06999999999999999,0.01,25.0,2.3800087975232525
0.09000000000000001,0.01,20.0,2.392966152594726
0.02,0.05000000000000001,0.0,2.4114586850378417
0.03,0.04,5.0,2.427723904100636
0.04,0.01,30.0,2.4391547123601787
0.08,0.01,20.0,2.439418028188973
0.01,0.04,10.0,2.4568181369225695
0.060000000000000005,0.01,25.0,2.468804417739696
0.09000000000000001,0.03,0.0,2.4778772995602396
0.04,0.02,30.0,2.483312524301383
0.01,0.02,30.0,2.497178333417918
0.04,0.02,0.0,2.498506274646197
0.02,0.02,30.0,2.5027375051009995
0.05000000000000001,0.01,25.0,2.502974372678303
0.04,0.04,0.0,2.5046558326050348
0.03,0.01,30.0,2.50487573193603
0.08,0.03,5.0,2.520252959556172
0.06999999999999999,0.01,20.0,2.5271777709456313
0.05000000000000001,0.02,30.0,2.5505056250080087
0.09999999999999999,0.03,15.0,2.555079167520756
0.04,0.02,15.0,2.5811236179397494
0.04,0.01,25.0,2.604657207406015
0.060000000000000005,0.01,20.0,2.610145182783904
0.02,0.01,30.0,2.614731164630795
0.01,0.03,0.0,2.634157576000437
0.03,0.01,25.0,2.6624553423687094
0.060000000000000005,0.02,30.0,2.666348102136175
0.01,0.01,30.0,2.688495634648927
0.05000000000000001,0.01,20.0,2.698389132070838
0.09999999999999999,0.01,10.0,2.7036217900842296
0.060000000000000005,0.03,10.0,2.7214517105549736
0.01,0.02,5.0,2.7346275380068454
0.04,0.01,20.0,2.7476631861073693
0.01,0.03,15.0,2.755420998011766
0.03,0.02,0.0,2.762565850585403
0.02,0.01,25.0,2.7916512214361338
0.09000000000000001,0.01,10.0,2.82103018068266
0.03,0.01,20.0,2.8385077479324727
0.06999999999999999,0.02,30.0,2.8567467162182525
0.08,0.01,10.0,2.863199420177029
0.01,0.01,25.0,2.8841176738919603
0.03,0.02,15.0,2.9064016976738003
0.08,0.02,30.0,2.924494958172424
0.06999999999999999,0.01,10.0,2.9510430842857964
0.09000000000000001,0.02,30.0,2.9579467957421577
0.02,0.01,20.0,2.962445470173152
0.09999999999999999,0.01,5.0,3.0035046118472075
0.060000000000000005,0.01,10.0,3.063133624418292
0.09000000000000001,0.01,5.0,3.0847344015703726
0.05000000000000001,0.04,15.0,3.0903928027434504
0.01,0.01,20.0,3.091294019447803
0.02,0.02,0.0,3.1361230410722514
0.09000000000000001,0.03,5.0,3.1630196807696564
0.09999999999999999,0.02,30.0,3.1801860481626107
0.08,0.01,5.0,3.1878956978086332
0.05000000000000001,0.01,10.0,3.210043795316473
0.02,0.02,15.0,3.218213849485402
0.06999999999999999,0.03,10.0,3.2326247229730285
0.09999999999999999,0.03,0.0,3.232937125503174
0.04,0.01,10.0,3.2623996266723165
0.06999999999999999,0.01,5.0,3.3007727095302886
0.060000000000000005,0.01,5.0,3.336448241655814
0.09999999999999999,0.01,0.0,3.337893606691498
0.09000000000000001,0.01,0.0,3.3576447378042276
0.03,0.01,10.0,3.366163365414718
0.09999999999999999,0.01,15.0,3.3941887279976695
0.05000000000000001,0.01,5.0,3.4386969487979506
0.02,0.01,10.0,3.479751927665179
0.09000000000000001,0.01,15.0,3.5121537553920366
0.08,0.01,0.0,3.556041531563698
0.04,0.01,5.0,3.577682552734794
0.08,0.01,15.0,3.6068589842701786
0.01,0.01,10.0,3.6329241860754027
0.06999999999999999,0.01,0.0,3.6597151791645346
0.01,0.02,0.0,3.690337031134042
0.06999999999999999,0.01,15.0,3.690618842564596
0.03,0.01,5.0,3.705465903005443
0.060000000000000005,0.01,0.0,3.734617133577624
0.01,0.02,15.0,3.7507489670703738
0.060000000000000005,0.01,15.0,3.798896506446795
0.01,0.03,20.0,3.8211825814903206
0.02,0.01,5.0,3.8309021402905437
0.05000000000000001,0.01,0.0,3.862237184354657
0.05000000000000001,0.01,15.0,3.9162191246972076
0.09999999999999999,0.03,5.0,3.9508253221401386
0.02,0.04,10.0,3.9566544722744355
0.04,0.01,15.0,3.9836540177115602
0.05000000000000001,0.04,0.0,3.9954019846884568
0.01,0.01,5.0,3.997422224812716
0.04,0.01,0.0,4.000208335186442
0.04,0.04,5.0,4.040805081683799
0.03,0.01,0.0,4.094508839820411
0.03,0.01,15.0,4.158763654115152
0.08,0.03,10.0,4.210866318107832
0.02,0.01,0.0,4.277254753381997
0.02,0.01,15.0,4.300251472873147
0.02,0.03,20.0,4.412488391809142
0.01,0.01,15.0,4.4625196661149005
0.01,0.01,0.0,4.469239091746841
0.03,0.05000000000000001,15.0,4.537836224927727
